Name,"Years active","Proven victims","Possible victims"
"Smith, Mark Alan",1969–1970,4,12+
"Smith, William Scott",1981–1984,4,4+
"Spangler, Robert",1978–1993,4,4
"Spencer, Timothy Wilson",1984–1988,4,5
"Stayner, Cary",1999,4,4
"Stevens, Charles",1989,4,4
"Sumner, Jesse",1963–1973,4,4
"Sutton, Nicholas Todd",1979–1985,4,4
"Swango, Michael",1981–1997,4,60
"Swann, James",1993,4,4
"Tavares, Daniel",1988–2007,4,4
"Taylor, Alvin",1985–1987,4,4
"Taylor, Kevin",2001,4,4
"Tersargyan, Alberd",2008–2010,4,4
"Ward, Ronald James",2000,4,4+
"Warren, Lesley Eugene",1987–1990,4,8
"Watson, Alexander Wayne",1986–1994,4,4
"Whisenhant, Thomas",1963–1976,4,4+
"Williams, Kenneth Dewayne",1998–1999,4,4
"Williams, Leslie Allen",1991–1992,4,4
"Williamson, Thomas Andrew",1868–1890,4,4
"Acevedo, Francisco",1989–1996,3,3
"Agrue, John",1966–1982,3,3+
"Albanese, Charles",1980–1981,3,3
"Alix, Franklin DeWayne",1997–1998,3,4+
"Allen, Howard",1974–1987,3,3
"Allridge, Ronald",1976–1985,3,3
"Amati, Tony Ray",1996,3,3
"Andrews, Patrick",1997–2007,3,3
"Archerd, William Dale",1947–1966,3,6
"Atkins, Joseph",1969–1985,3,3
"Avila-Torrez, Jorge",2005–2009,3,3
"Barnes, James Antonio",1988,3,7
"Barr, Charles",1923,3,3
"Barrett, Eugene",1959–1995,3,3
"Baxter, Patrick",1987–1990,3,3
"Beamon, Rocky",2005–2017,3,3
"Beardslee, Donald",1969–1981,3,3
"Beck, Martha",1947–1949,3,20
"Betterton, Monroe",1904–1919,3,3
"Bixler, Rodney Troy",2000,3,4
"Bladel, Rudy",1963–1978,3,7
"Blake, Eugene",1967–1984,3,3
"Boyd, Charles Anthony",1986–1987,3,3
"Bradley, James Opelton",1988–2014,3,3
"Brashers, Robert Eugene",1990–1998,3,3+
"Breslin, Joseph",1968–1982,3,3
"Broadnax, Donald",1977–1996,3,3
"Brockelhurst, Lester",1937,3,3+
"Brown, Curtis Don",1985–1986,3,18
"Buenoano, Judy",1971–1983,3,3+
"Burchart, Leslie",1994–1996,3,7+
"Burkhart, Ernest",1921–1925,3,11+
"Busch, Henry",1960,3,3
"Canaday, John Dwight",1968–1969,3,3
"Carignan, Harvey",1949–1974,3,5+
"Caro, Fernando Eros",1979–1980,3,5+
