cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree,pos_score,neg_score,polarity
guilt,83.0,0,10,0,12,45,13,15,45.0,0,10,0.4262481322438358,n,0.2371134020618556,True,,97.0,0.08247422680412371,0.08247422680412371,0.5
guilty,82.0,0,4,0,4,33,14,7,33.0,33,7,0.2655905317533152,a s,0.0816326530612244,True,,98.0,0.0,0.0,0.5
guinea,81.0,0,0,0,1,0,1,0,0.0,0,0,0.0565736223445736,n,0.0,True,,98.0,0.0,0.0,0.5
guinea pig,57.0,0,1,0,4,0,1,0,0.0,0,1,0.1011345204754377,,0.05,True,,100.0,0.0,0.04,0.48
guitar,36.0,0,0,0,1,0,1,1,0.0,0,0,0.0123407789247094,n,0.0,True,,99.0,0.0,0.0,0.5
gull,80.0,0,1,0,1,0,2,0,0.0,0,1,0.0223428452746346,n v,0.0,True,,86.0,0.0,0.0,0.5
gully,37.0,0,1,0,0,0,4,0,0.0,0,0,0.0582565475585878,n,0.0232558139534883,True,,86.0,0.0,0.023255813953488372,0.4883720930232558
gulp,71.0,0,0,0,1,0,2,1,0.0,0,0,0.0461925866975743,n v,0.0,True,,97.0,0.0,0.0,0.5
gum,126.0,0,2,0,3,0,3,1,0.0,0,3,0.0645831266087186,n v,0.0252525252525252,True,,198.0,0.0,0.020202020202020204,0.4898989898989899
gumption,31.0,0,2,0,2,0,1,2,0.0,0,1,0.0647541076112841,n,0.0365853658536585,True,,82.0,0.04878048780487805,0.0,0.524390243902439
gun,142.0,0,14,0,18,65,5,4,0.0,0,17,0.2800642210470864,n v,0.1608040201005025,True,,199.0,0.02512562814070352,0.1306532663316583,0.4472361809045226
gunk,73.0,0,3,0,5,0,2,2,0.0,0,2,0.4170856237133343,n,0.1888888888888888,True,,90.0,0.0,0.2222222222222222,0.3888888888888889
gunpowder,61.0,0,1,0,2,0,3,2,0.0,0,1,0.1012925536360247,n,0.0202020202020202,True,,99.0,0.0,0.020202020202020204,0.4898989898989899
guru,75.0,0,1,0,10,0,1,1,0.0,0,2,0.3134940009738023,n,0.2083333333333333,True,,96.0,0.19791666666666666,0.0,0.5989583333333334
gush,63.0,0,1,0,2,0,1,4,0.0,0,0,0.1607599484879222,n v,0.108695652173913,True,,92.0,0.0,0.09782608695652174,0.45108695652173914
gust,11.0,0,0,0,1,0,0,1,0.0,0,0,0.0115363696748978,n,0.0,True,,99.0,0.0,0.0,0.5
gusto,44.0,0,0,0,1,0,1,8,30.0,0,0,0.0626579463530049,n,0.0,True,,94.0,0.0,0.0,0.5
gut,139.0,0,1,0,8,0,6,2,0.0,0,0,0.2317650787680005,n v,0.1224489795918367,True,,196.0,0.05612244897959184,0.0663265306122449,0.49489795918367346
gutter,33.0,0,4,0,6,0,4,0,0.0,0,4,0.2105852664672852,n v,0.1313131313131313,True,,99.0,0.0,0.1414141414141414,0.4292929292929293
guy,120.0,0,4,0,4,0,9,0,0.0,0,3,0.057200739994849,n v,0.03,True,,200.0,0.025,0.0,0.5125
gym,73.0,0,1,0,0,0,6,0,0.0,0,0,0.0640980680922882,n,0.0,True,,98.0,0.0,0.0,0.5
gymnast,47.0,0,1,0,1,0,3,0,0.0,0,0,0.0213281873349592,n,0.0,True,,100.0,0.0,0.0,0.5
gymnastics,49.0,0,0,0,0,0,5,1,0.0,0,0,0.0211297338719118,n,0.0,True,,98.0,0.0,0.0,0.5
gypsum,28.0,0,0,0,0,0,5,0,0.0,0,0,0.0217835051627682,n,0.0,True,,67.0,0.0,0.0,0.5
gypsy,38.0,0,3,0,4,0,5,0,0.0,0,3,0.1411527386746139,n,0.0808080808080808,True,,99.0,0.0,0.06060606060606061,0.4696969696969697
