cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree
muck,69.0,11,4,0,4,0,1,2,0.0,0,3,0.4702610025526036,n v,0.2604166666666667,True,,96.0
mucous,14.0,0,4,0,2,0,2,2,0.0,0,0,0.014846290028808247,a,0.0,True,,85.0
mucus,15.0,0,2,0,1,0,1,2,0.0,0,0,0.005982894989587756,n,0.0,True,,99.0
mud,57.0,11,2,0,1,0,1,0,0.0,0,2,0.5423349754469796,n v,0.47474747474747475,True,,99.0
muddle,20.0,0,2,0,1,0,1,1,0.0,0,1,0.02800374629605051,n v,0.0,True,,89.0
muddled,23.0,0,1,0,2,0,3,0,0.0,0,2,0.07725606290090883,s v,0.03260869565217391,True,,92.0
muddy,53.0,0,2,0,2,6,0,0,0.0,0,2,0.4577232323232323,s v,0.35,True,,100.0
muff,11.0,0,1,0,1,6,1,0,0.0,0,1,0.010305481458137148,n v,0.0,True,,82.0
muffin,18.0,0,0,0,0,0,3,0,0.0,0,0,0.006367207427813488,n,0.0,True,,99.0
muffled,25.0,0,0,0,0,0,2,1,0.0,0,0,0.02364992475450939,s v,0.0,True,,92.0
mug,21.0,0,0,0,1,0,2,0,0.0,0,1,0.014813112562449668,n v,0.0,True,,100.0
mule,14.0,0,0,0,2,0,1,0,0.0,0,0,0.00969089479062815,n,0.0,True,,98.0
multicultural,38.0,0,4,0,3,0,1,1,0.0,0,3,0.06145524874405388,a,0.03,True,,100.0
multiple,21.0,0,0,0,0,0,1,0,0.0,0,0,0.007076450855670167,n a,0.0,True,,98.0
multiplication,31.0,0,0,0,0,0,1,2,0.0,0,0,0.006685420724034848,n,0.0,True,,99.0
multiply,21.0,0,0,0,0,0,0,1,0.0,0,0,0.0038735678884239547,r v,0.0,True,,100.0
multitude,26.0,0,1,0,4,0,2,0,0.0,0,2,0.04120396841351179,n,0.021052631578947368,True,,95.0
mum,55.0,0,2,0,3,0,2,4,0.0,0,0,0.03058989102967348,n s,0.0,True,,97.0
mumble,18.0,0,0,0,1,0,1,1,0.0,0,0,0.011923968197700918,n v,0.0,True,,100.0
mummy,16.0,0,2,0,1,0,1,1,0.0,0,0,0.009160337038729,n,0.0,True,,100.0
mumps,45.0,0,3,0,2,0,3,0,0.0,0,1,0.2558309711337662,n,0.21875,True,,96.0
munch,12.0,0,0,0,0,0,2,0,0.0,0,0,0.0031904947718389928,n v,0.0,True,,96.0
muppet,9.0,0,0,0,0,0,1,0,0.0,0,0,0.0032893951464642588,,0.0,True,,97.0
murder,61.0,16,7,0,8,0,6,1,0.0,16,8,0.670270078334364,n v,0.44,True,,100.0
murderer,77.0,25,8,0,12,0,5,4,0.0,25,14,0.8811521812585636,n,0.61,True,,100.0
